"appln_id","year","Latitude","Longitude","county","state"
376509514,2012,43.6106,-72.9726,"RUTLAND","VT"
376510432,2012,44.4905,-73.1112,"CHITTENDEN","VT"
376512847,2012,43.1004,-72.7784,"WINDHAM","VT"
376646497,2012,44.4759,-73.2121,"CHITTENDEN","VT"
376649868,2012,44.4759,-73.2121,"CHITTENDEN","VT"
376650716,2012,44.4905,-73.1112,"CHITTENDEN","VT"
376650716,2012,44.4905,-73.1112,"CHITTENDEN","VT"
376742425,2012,44.4759,-73.2121,"CHITTENDEN","VT"
376847253,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378213056,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378214187,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378214593,2012,44.197,-72.5021,"WASHINGTON","VT"
378214743,2012,44.4914,-73.1857,"CHITTENDEN","VT"
378214743,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378214743,2012,44.4905,-73.1112,"CHITTENDEN","VT"
378216891,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378326240,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378333001,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378333001,2012,44.4493,-73.1608,"CHITTENDEN","VT"
378333001,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378333002,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378333002,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378333002,2012,44.4493,-73.1608,"CHITTENDEN","VT"
378589178,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378589178,2012,44.4493,-73.1608,"CHITTENDEN","VT"
378589178,2012,44.5439,-73.1479,"CHITTENDEN","VT"
378601015,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378601477,2012,44.467,-73.171,"CHITTENDEN","VT"
378601477,2012,44.9565,-73.0511,"FRANKLIN","VT"
378601477,2012,44.4905,-73.1112,"CHITTENDEN","VT"
378601477,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378601477,2012,44.4905,-73.1112,"CHITTENDEN","VT"
378601477,2012,44.4914,-73.1857,"CHITTENDEN","VT"
378601777,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378604090,2012,44.467,-73.171,"CHITTENDEN","VT"
378605284,2012,44.467,-73.171,"CHITTENDEN","VT"
378794567,2012,44.6439,-72.8293,"LAMOILLE","VT"
378798749,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378798811,2012,43.6106,-72.9726,"RUTLAND","VT"
378799945,2012,43.6106,-72.9726,"RUTLAND","VT"
378799947,2012,43.6106,-72.9726,"RUTLAND","VT"
378804375,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378805262,2012,44.4759,-73.2121,"CHITTENDEN","VT"
378958491,2012,44.9181,-73.1243,"FRANKLIN","VT"
378959875,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379109937,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379181369,2012,44.2273,-73.0573,"ADDISON","VT"
379185369,2012,44.4654,-72.6874,"LAMOILLE","VT"
379185369,2012,44.4654,-72.6874,"LAMOILLE","VT"
379198002,2012,44.907,-72.8065,"FRANKLIN","VT"
379198004,2012,44.5874,-72.8646,"LAMOILLE","VT"
379198004,2012,44.5439,-73.1479,"CHITTENDEN","VT"
379198390,2012,44.3098,-73.261,"CHITTENDEN","VT"
379369485,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379370788,2012,42.9304,-73.2426,"BENNINGTON","VT"
379371165,2012,44.197,-72.5021,"WASHINGTON","VT"
379371198,2012,42.8509,-72.5579,"WINDHAM","VT"
379402776,2012,43.649,-72.3193,"WINDSOR","VT"
379403181,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379403874,2012,44.4905,-73.1112,"CHITTENDEN","VT"
379404174,2012,43.1004,-72.7784,"WINDHAM","VT"
379404286,2012,44.4654,-72.6874,"LAMOILLE","VT"
379404286,2012,44.4654,-72.6874,"LAMOILLE","VT"
379404538,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379405740,2012,44.4905,-73.1112,"CHITTENDEN","VT"
379407862,2012,44.0153,-73.1673,"ADDISON","VT"
379408316,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379652601,2012,44.4905,-73.1112,"CHITTENDEN","VT"
379854934,2012,44.4905,-73.1112,"CHITTENDEN","VT"
